Total score,How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],Do you think the use of deepfake technology should be regulated by law? Why or why not?,Do you think the use of deepfake technology should be regulated by law? Why or why not? [Score],Do you think the use of deepfake technology should be regulated by law? Why or why not? [Feedback],"In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity.","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Score]","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Feedback]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use?","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Score]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Feedback]","What could be some advantages  of using deepfakes, given a specific context? Give examples.","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Score]","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Feedback]",According to you what are some serious negative consequences of using deepfakes? Give examples.,According to you what are some serious negative consequences of using deepfakes? Give examples. [Score],According to you what are some serious negative consequences of using deepfakes? Give examples. [Feedback]
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"yes, it may be misused",-- / 0,,in entertainment education it is useful,-- / 0,,yes,-- / 0,,it can be used to know a historical,-- / 0,,it may be misused and may blackmail others by using those,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,yes,-- / 0,,education,-- / 0,,yes,-- / 0,,Bringing historical figures to life for educational purposes and enhancing storytelling in films,-- / 0,,disrupting peace and harmony,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes,-- / 0,,education,-- / 0,,yes until its too graphic,-- / 0,,educational videos,-- / 0,,"fake branding, entertainers lossing job",-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,"Yes, People may misuse to generate indecent pictures of others or may try to impersonate some other person",-- / 0,,To make movies when actor is injured,-- / 0,,"yes it can, we can make historic personalities come to real life",-- / 0,,"we can make historic personalities come to real life, dead people can talk again",-- / 0,,People may misuse to generate indecent pictures of others or may try to impersonate some other person,-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,no because future entertainment will be handled by ai,-- / 0,,no,-- / 0,,no,-- / 0,,yes,-- / 0,,no,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"Yes it should be, it is very powerful and can be used for unethical reasons. It should be highly regulated and put for good use.",-- / 0,,Cant see many good use cases other than entertainment and education. It can be used for making better videos for education.,-- / 0,,"Yes absolutely, that would be an amazing use case. It is ethical as long as the viewpoints being taught from the videos are truthful, non violent, ethical and moral themselves",-- / 0,,the previous use case of using them for bringing historical figures back to life is very interesting.,-- / 0,,"Easy to scam older people, can spread fake content as well",-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes, as it is very easy to do identity theft.",-- / 0,,recreating famous dead people's personas,-- / 0,,Use without the knowledge of the person or their family,-- / 0,,recreating famous dead people's personas,-- / 0,,"identity theft, defamation",-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"yes, it can lead to misconceptions",-- / 0,,to detect if the websites/social media people are to are really true or just fake,-- / 0,,yes,-- / 0,,for entertainment,-- / 0,,can trap people into some money trap,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,Yes surely,-- / 0,,"When there is an emergency to deliver a speech by prime minister, they can use deepfake to announce the speech,but it should be done by official people",-- / 0,,"Yes, it can be used for ethical ways like bringing back your loved ones back to life. Only those deepfakes which are publicly spread should be concerning and must be regulated",-- / 0,,Bringing back our loved ones back and chatting with them in real time,-- / 0,,Spreading misinformation and blackmailing,-- / 0,
4.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,no,-- / 0,,yes,-- / 0,,ethical,-- / 0,,yes,-- / 0,,yes,-- / 0,
8.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"Yes, it should be regulated as people might misuse it for phishing or such illegal activities by impersonating someone.",-- / 0,,"It can be used for educational content creation, to improve accessibility via personalized translations and enhance visual effects in movies",-- / 0,,"Yes, it can be used. Tt is ethical if it is used to help someone, otherwise it is unethical.",-- / 0,,For people who miss their family members can hear their voices again using deepfakes.,-- / 0,,Phishing or impersonating someone while writing an online exam are some serious consequences of using deepfakes.,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes as it can easily be misused causing harm to a person's image and social standing also might cause violence and other problems in extreme cases,-- / 0,,entertainment and education to promote learning and entertainment,-- / 0,,"yes ,as long as it is not misused to do miscreant work",-- / 0,,education to help students to visualize certain things without having to put manhours behind it,-- / 0,,by masquerading as an famous personality,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes, to prevent harmful use by apps that target people, especially women to extort or humiliate them",-- / 0,,Remaking classic movies with new-age actors,-- / 0,,Yes. It depends on whether the person in the deepfake consents/would have consented (in the case of dead figures) to the use of their likeness.,-- / 0,,"Saves production time in movie production, can be used to recreate historical moments for educational purposes. ",-- / 0,,"If deepfakes are too realistic, eventually video evidence or audio evidence will become inadmissible in court, which can seriously hamper the justice system",-- / 0,
9.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,my opinion doesn't matter,-- / 0,,in entertainment purpose only,-- / 0,,yes,-- / 0,,it can be used for entertainment,-- / 0,,i don't thnk that there are some disadvantage,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes, I do believe that deepfake technology should be regulate day the law. This is because of the fact that people could misuse the technology, like the recent incident with Taylor swift, and thus it should be regulated.",-- / 0,,"It can be used as a creative tool, like bringing back historical figures and among other things. However there arises a question, is it valid to do such a thing given the fact that we do not have their consent. The only thing I would agree with, is using deepfakes only when there is consent.",-- / 0,,"Yes, it can be. The line is drawn when it's misused. Like making an ad using those figures might not necessarily be right, because we are using them. for our profit,\.",-- / 0,,advantages could be creative control.,-- / 0,,1) misuse like the Taylor swift incident,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,yes.its not a good thing,-- / 0,,i dont think it should be used ethically also,-- / 0,,everything is unethical,-- / 0,,no advantages,-- / 0,,could destroy someones life,-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,YES. Because it leads to fraudulent practices.,-- / 0,,In education.,-- / 0,,Ethical usage is for educational purposes as mentioned in the question but unethical usage is when deepfake is used to mimic people and use their faces for committing a crime.,-- / 0,,EXAMPLE: IN EDUCATIONAL PURPOSES BY BRINGING HISTORICAL FIGURES TO LIFE.,-- / 0,,There can be negative consequences because deepfakes can be used to access the faces of individuals or their voices and can be illegally used for committing crimes.,-- / 0,
9.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,No. It breaches others' privacy. ,-- / 0,,For movies to portray a fictional character.,-- / 0,,Yes. If the consent of the person is considered.,-- / 0,,For creative or innovative uses.,-- / 0,,Invading privacy.,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,yes,-- / 0,,no,-- / 0,,yes,-- / 0,,no ,-- / 0,,nothing,-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes, many celebreties might face problem",-- / 0,,"By movie productions for entertainment,actor's workload will be reduced",-- / 0,,Yes.Celebreties pics should not be misused.,-- / 0,,"In education,entertainment. ",-- / 0,,Celebreties pics might be misused,-- / 0,
8.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"Yes, it would reduce spreading of fake information",-- / 0,,entertainment,-- / 0,,Yes.,-- / 0,,fake photos of celebrites,-- / 0,,"people not liking it
",-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes . It can be misused in many ways , like making political statements ",-- / 0,,can be used in education,-- / 0,,yes . Line should be drawn to promoting fake agendas by portraying those figures,-- / 0,,In education . Like making the person who discovered the stuff explaining the thing he discovered,-- / 0,,People misuse it in a way they are not suppposed to like making illegal videos and stuff,-- / 0,
6.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,yes. deepfake can be manipulated to dpread misinformation or defame people.,-- / 0,,It can be used in entertainment if the person has given his consent and is aware of the video will portray him.,-- / 0,,yes it can be used in such a way but it should be regulated to not spread misinformation.,-- / 0,,Some advantages can be in entertainment industry such as de aging and it can be used to enact histrorically significant events.,-- / 0,,Negative consequences of deepfake are misinfromation and defamation,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,Yes it should be. It can be used for many illegal purposes such as faking someone.,-- / 0,,for education purposes some famous personality can be shown teaching kids which helps them remember things easily,-- / 0,,"this is possible, infact it is a good idea to use deepfake technology this way",-- / 0,,i cant think of any right now,-- / 0,,using deepfakes without permission or consent is an attack on the identity of the person and can cause serious mental harm,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"It should definitely be regulated by law because as this technology improves it gets harder and harder to differentiate the fake from real. This might result in massive issues like CCTV, video, audio evidence etc might be tampered with using this and it can also be used to spread tons of misinformation on online platforms.",-- / 0,,"Sure, in such cases deepfakes work when everyone knows that its not real, for example in the entertainment sector there can be a gameshow which is based off of this ""AI or not AI"". Politics and education is a dicey topic because misinformation will be extremely easy to spread using deepfakes there, so I would think that its better to avoid deepfake technology in those cases.",-- / 0,,"Yeah this does seem like a good application of deepfake technology and it could help in capturing the attention of the students, but I still feel this should be regulated because if the teacher is biased then they can add subtle differences to propagate their opinion. ",-- / 0,,"Entertainment, education(regulated) ",-- / 0,,Spread of misinformation on social media,-- / 0,
8.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"yes, it can lead to wrong accusations for a good person",-- / 0,,"it can be used for educational and recreational purposes. for teaching, showing beautiful scenery , funny scenes etc.",-- / 0,,"yes , it can. it is ethical upto the point where it doesnt hurt any body,or the historical figure is insulted in any way",-- / 0,,"it can be used to show some events which happened it the past , and is difficult to express/describe",-- / 0,,people being acccused of things they never did,-- / 0,
